vorname,anzahl,geschlecht
Marie,121,w
Sophie,96,w
Charlotte,77,w
Emilia,66,w
Paul,64,m
Maria,60,w
Alexander,59,m
Luise,59,w
Maximilian,58,m
Anton,57,m
Johanna,51,w
Sophia,50,w
Elias,47,m
Emil,46,m
Jonathan,43,m
Anna,43,w
Felix,41,m
Jakob,41,m
Elisabeth,38,w
Noah,37,m
Clara,35,w
Emma,34,w
Julius,33,m
Julian,32,m
Ella,32,w
Helena,32,w
Benjamin,31,m
David,31,m
Mia,31,w
Leo,30,m
Karl,28,m
Ben,27,m
Leon,27,m
Louis,27,m
Johann,26,m
Johannes,26,m
Theodor,26,m
Friedrich,25,m
Jonas,25,m
Tim,25,m
Helene,24,w
Mila,24,w
Luis,24,m
Elisa,23,w
Greta,23,w
Marlene,23,w
Henry,23,m
Leonard,23,m
Lukas,23,m
Moritz,23,m
Amelie,22,w
Levi,22,m
Theo,22,m
Antonia,21,w
Hannah,21,w
Lea,21,w
Linus,21,m
Luisa,20,w
Mathilda,20,w
Daniel,20,m
Oskar,20,m
Lara,19,w
Lina,19,w
Frederik,19,m
Ida,18,w
Josephine,18,w
Laura,18,w
Aaron,18,m
Niklas,18,m
Valentin,18,m
Frieda,17,w
Julia,17,w
Sarah,17,w
Viktoria,17,w
Bruno,17,m
Carl,17,m
Raphael,17,m
Katharina,16,w
Matilda,16,w
Maya,16,w
Pauline,16,w
Rosa,16,w
Adrian,16,m
Jan,16,m
Liam,16,m
Luca,16,m
Ole,16,m
Philipp,16,m
Vincent,16,m
Amalia,15,w
Josefine,15,w
Maja,15,w
Paula,15,w
Sofia,15,w
Arthur,15,m
Benedikt,15,m
Finn,15,m
Joshua,15,m
Max,15,m
Alma,14,w
Hanna,14,w
Isabella,14,w
Leni,14,w
Martha,14,w
Stella,14,w
Theresa,14,w
Valentina,14,w
Victoria,14,w
Ali,14,m
Emir,14,m
Georg,14,m
Henrik,14,m
Justus,14,m
Leander,14,m
Luka,14,m
Milan,14,m
Simon,14,m
Tom,14,m
Alexandra,13,w
Emily,13,w
Lilly,13,w
Ferdinand,13,m
Konstantin,13,m
Richard,13,m
Samuel,13,m
Thomas,13,m
Carla,12,w
Eva,12,w
Lena,12,w
Leonie,12,w
Mina,12,w
Zoe,12,w
Christian,12,m
Emilian,12,m
Fabian,12,m
Fritz,12,m
Hugo,12,m
Leopold,12,m
Michael,12,m
Peter,12,m
Carlotta,11,w
Klara,11,w
Romy,11,w
Adam,11,m
Caspar,11,m
Frederick,11,m
Gabriel,11,m
Joel,11,m
Martin,11,m
Mateo,11,m
Mattis,11,m
Otto,11,m
Ada,10,w
Aurelia,10,w
Leyla,10,w
Louisa,10,w
Louise,10,w
Luna,10,w
Nele,10,w
Andreas,10,m
August,10,m
Eric,10,m
Erik,10,m
Kilian,10,m
Lasse,10,m
Lucas,10,m
Malik,10,m
Mats,10,m
Mika,10,m
Nicolas,10,m
Robert,10,m
Sebastian,10,m
Amina,9,w
Amélie,9,w
Ela,9,w
Elise,9,w
Florentine,9,w
Lia,9,w
Lotta,9,w
Margarete,9,w
Nora,9,w
Olivia,9,w
Rose,9,w
Sara,9,w
Yasmin,9,w
Can,9,m
Emilio,9,m
Konrad,9,m
Philip,9,m
Wolfgang,9,m
Alina,8,w
Ava,8,w
Elif,8,w
Elsa,8,w
Emilie,8,w
Felicitas,8,w
Franziska,8,w
Frida,8,w
Liv,8,w
Lotte,8,w
Mira,8,w
Miriam,8,w
Amir,8,m
Bela,8,m
Constantin,8,m
Efe,8,m
Franz,8,m
Hamza,8,m
Ibrahim,8,m
Johan,8,m
Juri,8,m
Kian,8,m
Lennart,8,m
Oscar,8,m
Rafael,8,m
Ruben,8,m
Timo,8,m
Tobias,8,m
Victor,8,m
Amira,7,w
Annika,7,w
Christine,7,w
Henriette,7,w
Lisa,7,w
Lucia,7,w
Magdalena,7,w
Mara,7,w
Nina,7,w
Noemi,7,w
Zeynep,7,w
Antonio,7,m
Bastian,7,m
Christopher,7,m
Deniz,7,m
Florian,7,m
Gustav,7,m
Jona,7,m
Jonah,7,m
Klaus,7,m
Lennox,7,m
Ludwig,7,m
Mio,7,m
Mohamed,7,m
Muhammed,7,m
Mustafa,7,m
Nils,7,m
Stefan,7,m
Viktor,7,m
Adele,6,w
Alice,6,w
Chiara,6,w
Elena,6,w
Esther,6,w
Finja,6,w
Hana,6,w
Isabelle,6,w
Marta,6,w
Mathilde,6,w
Melissa,6,w
Melody,6,w
Milla,6,w
Nisa,6,w
Paulina,6,w
Pia,6,w
Sofie,6,w
Alan,6,m
Carlos,6,m
Edgar,6,m
Ege,6,m
Gregor,6,m
Heinrich,6,m
Henri,6,m
Jakub,6,m
James,6,m
Jannik,6,m
John,6,m
Joris,6,m
Kaan,6,m
Lennard,6,m
Luke,6,m
Manuel,6,m
Matteo,6,m
Maxim,6,m
Nikolas,6,m
Oliver,6,m
William,6,m
Willy,6,m
Amelia,5,w
Annabell,5,w
Anne,5,w
Anouk,5,w
Barbara,5,w
Caroline,5,w
Claire,5,w
Eleni,5,w
Elina,5,w
Emmi,5,w
Felicia,5,w
Friederike,5,w
Isabell,5,w
Jasmin,5,w
Julie,5,w
Juna,5,w
Karla,5,w
Karlotta,5,w
Karolina,5,w
Leah,5,w
Linda,5,w
Linnea,5,w
Malia,5,w
Marina,5,w
Merle,5,w
Meryem,5,w
Milena,5,w
Noa,5,w
Philippa,5,w
Ruth,5,w
Su,5,w
Yuna,5,w
Albert,5,m
Zahraa,5,w
Amin,5,m
Zoé,5,w
Arda,5,m
Bernhard,5,m
Christoph,5,m
Darian,5,m
Elia,5,m
Emanuel,5,m
Filip,5,m
Fynn,5,m
Gerhard,5,m
Hannes,5,m
Hans,5,m
Hendrik,5,m
Ilyas,5,m
Jacob,5,m
Jasper,5,m
Jesper,5,m
Josef,5,m
Joseph,5,m
Kaspar,5,m
Kenan,5,m
Kerem,5,m
Kuzey,5,m
Leonardo,5,m
Levin,5,m
Magnus,5,m
Marc,5,m
Marek,5,m
Mario,5,m
Matti,5,m
Maurice,5,m
Mert,5,m
Milo,5,m
Mohammed,5,m
Neo,5,m
Nikita,5,m
Nikolai,5,m
Noel,5,m
Robin,5,m
Sam,5,m
Taylan,5,m
Toni,5,m
Tristan,5,m
Walter,5,m
Werner,5,m
Wilhelm,5,m
Willi,5,m
Yasin,5,m
Yusuf,5,m
Agnes,4,w
Alena,4,w
Alva,4,w
Anastasia,4,w
Aylin,4,w
Catalina,4,w
Celine,4,w
Christina,4,w
Daria,4,w
Diana,4,w
Elin,4,w
Fanny,4,w
Feyza,4,w
Fiona,4,w
Gloria,4,w
Helen,4,w
Ingrid,4,w
Janna,4,w
Juli,4,w
Julika,4,w
Leila,4,w
Lilli,4,w
Livia,4,w
Lore,4,w
Lydia,4,w
Lynn,4,w
Malou,4,w
Mariella,4,w
Maryam,4,w
Medina,4,w
Minou,4,w
Nelly,4,w
Nicole,4,w
Nika,4,w
Nur,4,w
Olga,4,w
Rüya,4,w
Samira,4,w
Selma,4,w
Tilda,4,w
Veronika,4,w
Abdullah,4,m
Ahmet,4,m
André,4,m
Arian,4,m
Aurel,4,m
Benno,4,m
Bo,4,m
Cem,4,m
Colin,4,m
Cornelius,4,m
Dante,4,m
Dean,4,m
Elijah,4,m
Emre,4,m
Fiete,4,m
Frank,4,m
Fridolin,4,m
Hubert,4,m
Immanuel,4,m
Isa,4,m
Ismail,4,m
Jack,4,m
Jamal,4,m
Jamie,4,m
Julien,4,m
Junis,4,m
Kerim,4,m
Lias,4,m
Malek,4,m
Malte,4,m
Marcel,4,m
Matheo,4,m
